{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 105, 'lr': 0.0001, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 4, 'num_latent': 27, 'num_odefunc_layers1': 2, 'odefunc_neurons1': 577, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 1.0, 'weight_decay': 0.0001}
Results: 0.5751051571875685, 0.17122840452489393, 0.5136311198854838{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 118, 'lr': 0.0001, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 4, 'num_latent': 120, 'num_odefunc_layers1': 3, 'odefunc_neurons1': 305, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 1.0, 'weight_decay': 0.0001}
Results: 0.5949404939895939, 0.17270625593908528, 0.5183538597782624{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 319, 'lr': 0.0001, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 4, 'num_latent': 71, 'num_odefunc_layers1': 4, 'odefunc_neurons1': 216, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 0.1, 'weight_decay': 0.001}
Results: 0.5459202998225784, 0.2679081384250223, 0.8564316051281395{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 730, 'lr': 0.0005, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 3, 'num_latent': 129, 'num_odefunc_layers1': 2, 'odefunc_neurons1': 556, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 0.1, 'weight_decay': 0.0001}
Results: 0.5676693977632916, 0.18425607473092043, 0.5438057255940589{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 697, 'lr': 0.0005, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 2, 'num_latent': 147, 'num_odefunc_layers1': 3, 'odefunc_neurons1': 286, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 1.0, 'weight_decay': 0.0001}
Results: 0.5733110061200486, 0.1917256047747439, 0.5620991959580386{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 368, 'lr': 0.0001, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 3, 'num_latent': 108, 'num_odefunc_layers1': 2, 'odefunc_neurons1': 741, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 0.1, 'weight_decay': 0.0001}
Results: 0.6026752785917907, 0.2050486664707753, 0.5970827855639063{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 422, 'lr': 0.0001, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 2, 'num_latent': 158, 'num_odefunc_layers1': 3, 'odefunc_neurons1': 171, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 1.0, 'weight_decay': 0.0001}
Results: 0.6033331339832148, 0.18459333284807392, 0.5447963418998149{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 670, 'lr': 0.0005, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 4, 'num_latent': 95, 'num_odefunc_layers1': 4, 'odefunc_neurons1': 117, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 0.1, 'weight_decay': 0.0001}
Results: 0.4148475968343201, 0.2283435769179817, 0.6680456412712777{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 578, 'lr': 0.0005, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 4, 'num_latent': 118, 'num_odefunc_layers1': 4, 'odefunc_neurons1': 623, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 0.1, 'weight_decay': 0.0001}
Results: 0.5907740765105756, 0.18551668258204837, 0.5467454852111856{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 327, 'lr': 0.0001, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 3, 'num_latent': 103, 'num_odefunc_layers1': 2, 'odefunc_neurons1': 1474, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 1.0, 'weight_decay': 0.001}
Results: 0.6604070729422084, 0.16514659932444886, 0.49324038154584066{'batch_size': 128, 'encoder_dropout': 0.0, 'encoder_neurons': 646, 'lr': 0.0005, 'mu': 0.0001, 'multiplier': 1.0, 'num_encoder_layers': 3, 'num_latent': 134, 'num_odefunc_layers1': 4, 'odefunc_neurons1': 697, 'patience': 20, 'scheduler_epoch': 5, 'scheduler_gamma': 0.1, 'softplus_beta': 0.1, 'weight_decay': 0.001}
Results: 0.5976715906145964, 0.17936274143064143, 0.5285761223584085
